time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-05-04 00:00:00+00:00,28,11,1,1
2026-05-05 00:00:00+00:00,30,8,4,1
2026-05-06 00:00:00+00:00,27,9,6,3
2026-05-07 00:00:00+00:00,8,3,1,1
2026-05-08 00:00:00+00:00,31,10,3,3
2026-05-09 00:00:00+00:00,9,4,1,1
2026-05-10 00:00:00+00:00,30,9,3,3
2026-05-11 00:00:00+00:00,20,7,3,3
2026-05-12 00:00:00+00:00,40,13,2,2
2026-05-13 00:00:00+00:00,32,9,1,1
2026-05-14 00:00:00+00:00,26,9,3,3
2026-05-15 00:00:00+00:00,20,7,1,1
2026-05-16 00:00:00+00:00,11,5,2,2
2026-05-17 00:00:00+00:00,31,10,0,0
