time_iso8601,clones_total,clones_unique,views_total,views_unique
2024-11-18 00:00:00+00:00,45,1,20,2
2024-11-19 00:00:00+00:00,19,1,31,2
2024-11-20 00:00:00+00:00,0,0,1,1
2024-11-21 00:00:00+00:00,0,0,16,1
2024-11-22 00:00:00+00:00,0,0,10,4
2024-11-23 00:00:00+00:00,0,0,1,1
2024-11-25 00:00:00+00:00,0,0,5,2
2024-11-26 00:00:00+00:00,0,0,6,3
2024-11-27 00:00:00+00:00,0,0,3,1
2024-11-28 00:00:00+00:00,9,4,3,1
2024-11-30 00:00:00+00:00,28,3,54,2
2024-12-01 00:00:00+00:00,2,2,0,0
2024-12-02 00:00:00+00:00,1,1,13,3
